instruction,input,output,Categories
is there a way to have a multi line user input prompt in batch,"I've been trying to make a user input prompt that displays itself as multiple lines.
Example of how I want it to look:
Welcome to the program!
What would you like to do?
option [1]
option [2]
option [3]

This is how I tried to do that:
set /p selection=""Welcome to the program! ^ What would you like to do? ^ option [1] ^ option [2] ^ option [3]""

But when I run that, it comes out like this:
Welcome to the program!  What would you like to do?  option [1]  option [2]  option [3]

I googled it but I couldn't find anything that helped, so if someone could tell me a way to do this that would be great!
","Maybe it's simple.
@echo off
echo welcome to program!
echo what would you like to do?
echo option[1]
echo option[2]
echo option[3]

set /p selection=

",prompt
command to run a bat file,"I'm trying to make my Visual Studio build script execute a .bat file that does something important.
Here is what I'm want to do right now:
cd ""F:\- Big Packets -\kitterengine\Common\"" Template.bat

But it doesn't work.
I have to do this to make it work:
cd ""F:\- Big Packets -\kitterengine\Common\""
F:
Template.bat

But this is pretty difficult to add to the Visual Studio script.
How can I do this in one single line?
","Can refer to here: https://ss64.com/nt/start.html
start """" /D F:\- Big Packets -\kitterengine\Common\ /W Template.bat

",prompt
change environment variable set in jupyter notebook with magics,"Hope this question is not already answered, I've searched many posts but none of them says how to change an environment variable.
I wanted to load environment variables in .env so followed the steps in this post.
%env ""OPENAI_API_KEY""=OPENAI_API_KEY

Then I wanted to see my variable with:
%env OPENAI_API_KEY

Everything worked well but my mistake was to erroneously copy the value for my environment variable. So I want to change it.
I tried dotenv to load this variable again but seems not to work.
Hope you can help me, please.
I tried doing again the same procedure so that it can be changed/updated.
","If you made a mistake writing your APIKEY:
Created a .env with your credentials:
OPENAI_API_KEY=""...erroneous-api-key...""

You verified:
%env OPENAI_API_KEY

And you realized it is wrong.
You can:
import os
del os.environ[""OPENAI_API_KEY""]

Then:
os.environ[""OPENAI_API_KEY""]=""...right-key...""

To verify this:
%env OPENAI_API_KEY

And the updated api-key should be prompted.
",langchain
sweetalert prompt issue in bootstrap modal,"I have been trying for more than two days to run SweetAlert prompt in a modal bootstrap without success, the input is not accessible and I don't understand why. I need help please.


$(""#openSWAL"").click(function(){_x000D_
	swal({_x000D_
    title: ""An input!"",_x000D_
    text: ""Write something interesting:"",_x000D_
    type: ""input"",_x000D_
    showCancelButton: true,_x000D_
    closeOnConfirm: false,_x000D_
    animation: ""slide-from-top"",_x000D_
    inputPlaceholder: ""Write something""_x000D_
  },_x000D_
       function(inputValue){_x000D_
    if (inputValue === false) return false;_x000D_
_x000D_
    if (inputValue === """") {_x000D_
      swal.showInputError(""You need to write something!"");_x000D_
      return false_x000D_
    }_x000D_
_x000D_
    swal(""Nice!"", ""You wrote: "" + inputValue, ""success"");_x000D_
  });_x000D_
});
<script src=""https://ajax.googleapis.com/ajax/libs/jquery/3.2.0/jquery.min.js""></script>_x000D_
<script src=""https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js""></script>_x000D_
<script src=""https://cdnjs.cloudflare.com/ajax/libs/sweetalert/1.1.3/sweetalert.min.js""></script>_x000D_
_x000D_
<link rel=""stylesheet"" href=""https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css"">_x000D_
<link rel=""stylesheet"" href=""https://cdnjs.cloudflare.com/ajax/libs/sweetalert/1.1.3/sweetalert.min.css"">_x000D_
_x000D_
<!-- Button trigger modal -->_x000D_
<button type=""button"" class=""btn btn-primary btn-lg"" data-toggle=""modal"" data-target=""#myModal"">_x000D_
  Open modal_x000D_
</button>_x000D_
_x000D_
<!-- Modal -->_x000D_
<div class=""modal fade"" id=""myModal"" tabindex=""-1"" role=""dialog"" aria-labelledby=""myModalLabel"">_x000D_
  <div class=""modal-dialog"" role=""document"">_x000D_
    <div class=""modal-content"">_x000D_
      <div class=""modal-header"">_x000D_
        <button type=""button"" class=""close"" data-dismiss=""modal"" aria-label=""Close""><span aria-hidden=""true"">&times;</span></button>_x000D_
        <h4 class=""modal-title"" id=""myModalLabel"">Modal title</h4>_x000D_
      </div>_x000D_
      <div class=""modal-body"">_x000D_
        Bla<br/>_x000D_
    Bla<br/>_x000D_
    Bla<br/>_x000D_
    Bla<br/>_x000D_
    Bla<br/>_x000D_
    Bla<br/>_x000D_
    Bla<br/>_x000D_
    Bla<br/>_x000D_
    Bla<br/>_x000D_
    Bla<br/>_x000D_
    Bla<br/>_x000D_
    Bla<br/>_x000D_
    Bla<br/>_x000D_
    Bla<br/>_x000D_
    Bla<br/>_x000D_
    Bla<br/>_x000D_
    Bla<br/>_x000D_
    Bla<br/>_x000D_
    _x000D_
      </div>_x000D_
      <div class=""modal-footer"">_x000D_
        <button type=""button"" id=""openSWAL"" class=""btn btn-warning"">Open SweetAlert prompt</button>_x000D_
        <button type=""button"" class=""btn btn-default"" data-dismiss=""modal"">Close</button>_x000D_
        <button type=""button"" class=""btn btn-primary"">Save changes</button>_x000D_
      </div>_x000D_
    </div>_x000D_
  </div>_x000D_
</div>



","Removing tabindex=""-1"" from myModal seems to do the job: Fiddle
The problem is tabindex, because if you set it to -1, you won't be able to access that element.
More info here, and in this question.
",prompt
rag using langchain  chroma  unable to save more than 99 records to database,"I'm using the following code to load the content of markdown files (only one file, in my case), split it into chunks and then embed and store the chunks one by one. My file is split into 801 chunks. However, this code is unable to save the embeddings to disk in the vector db.
def load_documents():
loader = DirectoryLoader(DATA_PATH, glob=""*.md"")

documents = loader.load()

return documents

def split_text(documents: list[Document]):
text_splitter = RecursiveCharacterTextSplitter(

    chunk_size=300,

    chunk_overlap=100,

    length_function=len,

    add_start_index=True,

)

chunks = text_splitter.split_documents(documents)

print(f""Split {len(documents)} documents into {len(chunks)} chunks."")



document = chunks[10]

print(document.page_content)

print(document.metadata)



return chunks

def save_to_chroma(chunks: list[Document]):
# Clear out the database first.

if os.path.exists(CHROMA_PATH):

    shutil.rmtree(CHROMA_PATH)



# Create a new DB from the documents.

db = Chroma.from_documents(

    chunks, OpenAIEmbeddings(), persist_directory=CHROMA_PATH

)

While analysing this problem, I attempted to save the chunks one by one instead, using a for loop:
for i, chunk in enumerate(chunks):
db = Chroma.from_documents(
chunks, OpenAIEmbeddings(), persist_directory=CHROMA_PATH
)
I found that the code does save up to 99 chunks / embeddings, but always crashes when it tries to save further data. To investigate further, I opened the underlying database using DB Browser for SQLite and saw that Chroma was saving a max of 99 records in the 'embeddings' table. However, I was able to manually add more records to it i.e. exceeding 99.
I also tried a few variations i.e. by:

saving the chunks in batches of 10 or 30
not deleting the existing database already containing 99 records, and then attempting to write more data
playing around with the chunk size and chunk overlap

However, none of the above made any difference.
Does anybody know why this is happening and how to solve this problem?
","My problem was solved when I re-installed python on my pc due to some other problem. Now, when I run the code, it works like magic! All the chunks are being saved now regardless of whether I save them all in one go or in batches.
EDIT:
The problem was actually due to a conflict in the installed libraries. It gets resolved when you use a virtual environment, so no need to re-install python.
",langchain
running llms locally causing this error the request was canceled due to the configured httpclienttimeout of 100 seconds elapsing,"I have the following code to send a prompt request to a local LLM, ph-3. Although it shows the correct response in LM studio (check the image), on the VS I receive timeout error. Any help?
var phi3 = new CustomChatCompletionService();
phi3.ModelUrl = ""http://localhost:1234/v1/chat/completions"";

// semantic kernel builder
var builder = Kernel.CreateBuilder();
builder.Services.AddKeyedSingleton<IChatCompletionService>(""microsoft/Phi-3-mini-4k-instruct-gguf"", phi3);
var kernel = builder.Build();

// init chat
var chat = kernel.GetRequiredService<IChatCompletionService>();
var history = new ChatHistory();
history.AddSystemMessage(""You are a useful assistant that replies using a funny style and emojis. Your name is Goku."");
history.AddUserMessage(""hi, who are you?"");

// print response
var result = await chat.GetChatMessageContentsAsync(history);
Console.WriteLine(result[^1].Content);


","You don't necessarily need a Custom Chat Completion Service to consume your local phi-3 Model.
You can use the OpenAI Connector with the experimental endpoint override parameter to your LMStudio Http API
var builder = kernel.CreateBuilder()
    .AddOpenAIChatCompletion(
        modelId: ""phi3"", 
        endpoint: new Uri(""http://localhost:1234""), 
        apiKey: null)
    .Build();

",llm
to get a prompt which indicates gitbranch in zsh,"I run the following codes separately as my prompt unsuccessfully in .zshrc. This suggests me that apparently I do not have a program called __git_ps1. It is not in MacPorts.
#1
PROMPT=""$(__git_ps1 "" \[\033[1;32m\] (%s)\[\033[0m\]"")\$""$

#2
PROMPT=""$(__git_ps1 "" (%s)"")\$""$

#3
# Get the name of the branch we are on
git_prompt_info() {
  branch_prompt=$(__git_ps1)
  if [ -n ""$branch_prompt"" ]; then
    status_icon=$(git_status)
    echo $branch_prompt $status_icon
  fi
}

# Show character if changes are pending
git_status() {
  if current_git_status=$(git status | grep 'added to commit' 2> /dev/null); then
    echo ""☠""
  fi
}
autoload -U colors
colors
setopt prompt_subst
PROMPT='
%~%{$fg_bold[black]%}$(git_prompt_info)
→ %{$reset_color%}'

How can you get a prompt which shows the name of a Git-branch?
","__git_ps1 is from git-completion.bash. In zsh you probably have to provide your own function to determine the current directories git branch. There are quite a few blog posts about a git prompt for zsh.
You just need:

a function to provide the branch name
enable prompt (command) substitution
add the function to your prompt

For example
git_prompt() {
 ref=$(git symbolic-ref HEAD | cut -d'/' -f3)
 echo $ref
}
setopt prompt_subst
PS1=$(git_prompt)%#
autoload -U promptinit
promptinit

Update: use the zsh vcs_info module instead of git_prompt()
setopt prompt_subst
autoload -Uz vcs_info
zstyle ':vcs_info:*' actionformats \
    '%F{5}(%f%s%F{5})%F{3}-%F{5}[%F{2}%b%F{3}|%F{1}%a%F{5}]%f '
zstyle ':vcs_info:*' formats       \
    '%F{5}(%f%s%F{5})%F{3}-%F{5}[%F{2}%b%F{5}]%f '
zstyle ':vcs_info:(sv[nk]|bzr):*' branchformat '%b%F{1}:%F{3}%r'

zstyle ':vcs_info:*' enable git cvs svn

# or use pre_cmd, see man zshcontrib
vcs_info_wrapper() {
  vcs_info
  if [ -n ""$vcs_info_msg_0_"" ]; then
    echo ""%{$fg[grey]%}${vcs_info_msg_0_}%{$reset_color%}$del""
  fi
}
RPROMPT=$'$(vcs_info_wrapper)'

",prompt
huggingface  finetuning in tensorflow with custom datasets,"I have been battling with my own implementation on my dataset with a different transformer model than the tutorial, and I have been getting this error AttributeError: 'NoneType' object has no attribute 'dtype', when i was starting to train my model. I have been trying to debug for hours, and then I have tried the tutorial from hugging face as it can be found here https://huggingface.co/transformers/v3.2.0/custom_datasets.html. Running this exact code, so I could identify my mistake, also leads to the same error.
!wget http://ai.stanford.edu/~amaas/data/sentiment/aclImdb_v1.tar.gz
!tar -xf aclImdb_v1.tar.gz

from pathlib import Path
def read_imdb_split(split_dir):
    split_dir = Path(split_dir)
    texts = []
    labels = []
    for label_dir in [""pos"", ""neg""]:
        for text_file in (split_dir/label_dir).iterdir():
            texts.append(text_file.read_text())
            labels.append(0 if label_dir is ""neg"" else 1)

    return texts, labels

train_texts, train_labels = read_imdb_split('aclImdb/train')
test_texts, test_labels = read_imdb_split('aclImdb/test')

from sklearn.model_selection import train_test_split
train_texts, val_texts, train_labels, val_labels = train_test_split(train_texts, train_labels, test_size=.2)

from transformers import DistilBertTokenizerFast
tokenizer = DistilBertTokenizerFast.from_pretrained('distilbert-base-uncased')

train_encodings = tokenizer(train_texts, truncation=True, padding=True)
val_encodings = tokenizer(val_texts, truncation=True, padding=True)
test_encodings = tokenizer(test_texts, truncation=True, padding=True)

import tensorflow as tf

train_dataset = tf.data.Dataset.from_tensor_slices((
    dict(train_encodings),
    train_labels
))
val_dataset = tf.data.Dataset.from_tensor_slices((
    dict(val_encodings),
    val_labels
))
test_dataset = tf.data.Dataset.from_tensor_slices((
    dict(test_encodings),
    test_labels
))

from transformers import TFDistilBertForSequenceClassification

model = TFDistilBertForSequenceClassification.from_pretrained('distilbert-base-uncased')

optimizer = tf.keras.optimizers.Adam(learning_rate=5e-5)
model.compile(optimizer=optimizer, loss=model.compute_loss) # can also use any keras loss fn
model.fit(train_dataset.shuffle(1000).batch(16), epochs=3, batch_size=16)

My goal will be to perform multi-label text classification on my own custom dataset, which unfortunately I cannot share for privacy reasons. If anyone could point out what is wrong with this implementation, will be highly appreciated.
","There seems to be an error, when you are passing the loss parameter.
model.compile(optimizer=optimizer, loss=model.compute_loss) # can also use any keras loss fn

You don't need to pass the loss parameter, if you want to use the model's built-in loss function.
I was able to train the model with your provided source code by changing mentioned line to:
model.compile(optimizer=optimizer)

or by passing a loss function
loss_fn = tf.keras.losses.SparseCategoricalCrossentropy(from_logits=True)

model.compile(optimizer=optimizer, loss=loss_fn)

transformers version: 4.20.1
Hope it helps.
",huggingface-transformers
llm output repeating itself,"I am currently following this tutorial on making a basic LLM that spews Shakespeare like text(The full code for the transformer is at the the end). I am at the end but when I train it and get an output the output just keeps repeating itself with the same stuff. Here is my code
import tiktoken
import torch
import torch.nn as nn
from torch.nn import functional as F
from functions.encode import encode_chars
from functions.character_amount import character_amount
from functions.train_test_split import train_test_split
from functions.decoding import decoding
with open(r'example_shakespeare_text.txt') as file:
    file = file.read()
split = (file.split('\n'))
max_iters = 25
num_embed = 64
num_heads = 16
num_layers = 8
batch_size = 32
block_size = 128
dropout = 0.2
learning_rate = 1e-3

if torch.cuda.is_available():
    device = 'cuda'
else:
    device = 'cpu'

encode = tiktoken.get_encoding('gpt2')

characters = character_amount(encode=encode, split=split)
vocab_size = encode.n_vocab
    
encoded = encode_chars(split=split, encode=encode)

data = torch.tensor(encoded, dtype=torch.long)
train_data, test_data = train_test_split(data=data)

def array_creation(split):
    if split == 'train':
        data = train_data
    else:
        data = test_data

    ix = torch.randint(len(data) - block_size, (batch_size,))
    x = torch.stack([data[i:i + block_size] for i in ix])
    y = torch.stack([data[i+1:i+block_size + 1] for i in ix])
    x = x.to(device)
    y = y.to(device)
    return x, y
        
class Head(nn.Module):
    def __init__(self, head_size):
        super().__init__()
        self.key = nn.Linear(num_embed, head_size, bias=False)
        self.query = nn.Linear(num_embed, head_size, bias=False)
        self.value = nn.Linear(num_embed, head_size, bias=False)
        self.register_buffer('tril', torch.tril(torch.ones(block_size, block_size)))

        self.dropout = nn.Dropout(dropout)

    def forward(self,x):
        B, T, C = x.shape
        head_size = 16
        key = nn.Linear(C, head_size, bias=False)
        query = nn.Linear(C, head_size, bias=False)
        k = key(x)
        q = query(x)
        weight =  q @ k.transpose(-2,-1) * C **-0.5
        weight = weight.masked_fill(self.tril[:T,:T] == 0, float('-inf'))
        weight = F.softmax(weight, dim=-1)
        weight = self.dropout(weight)

        v = self.value(x)
        out = weight @ v
        return out

class MultiHead(nn.Module):
    def __init__(self, num_heads, head_size):
        super().__init__()
        self.heads = nn.ModuleList([Head(head_size) for _ in range(num_heads)])
        self.prj = nn.Linear(num_embed, num_embed)
        self.dropout = nn.Dropout(dropout)
    def forward(self, x):
        out = torch.cat([h(x) for h in self.heads], dim=-1)
        out = self.dropout(self.prj(out))
        return out

class FeedForward(nn.Module):
    def __init__(self, num_embed):
        super().__init__()
        self.net = nn.Sequential(
            nn.Linear(num_embed,  4 * num_embed),
            nn.ReLU(),
            nn.Linear(4 * num_embed, num_embed),
            nn.Dropout(dropout)
        )
    def forward(self, x):
        return self.net(x)
    
class Block(nn.Module):
    def __init__(self, num_embed,num_heads):
        super().__init__()
        head_size = num_embed // num_heads
        self.sa = MultiHead(num_heads, head_size)
        self.ffwd = FeedForward(num_embed)
        self.layernorm1 = nn.LayerNorm(num_embed)
        self.layernorm2 = nn.LayerNorm(num_embed)

    def forward(self, x):
        x = x + self.sa(self.layernorm1(x))
        x = x + self.ffwd(self.layernorm2(x))
        return x

class BigramLanguageModel(nn.Module):

    def __init__(self):
        super().__init__()
        self.token_embedding_table = nn.Embedding(vocab_size, num_embed)
        self.position_embedding_table = nn.Embedding(block_size, num_embed)
        self.blocks = nn.Sequential(*[Block(num_embed, num_heads=num_heads) for _ in range(num_layers)])
        self.ln_f = nn.LayerNorm(num_embed)
        self.lm_head = nn.Linear(num_embed, vocab_size)

    def forward(self, idx, targets=None):
        B, T = idx.shape
        token_emb = self.token_embedding_table(idx)
        position_embedding = self.position_embedding_table(torch.arange(T, device=device))
        x = token_emb + position_embedding
        x = self.blocks(x)
        x = self.ln_f(x)
        logits = self.lm_head(x)
        
        if targets != None:
            B, T, C = logits.shape
            logits = logits.view(B*T, C)
            targets = targets.view(B*T)
            
            loss = F.cross_entropy(logits, targets)
        else:
            loss = None
        return logits, loss
    def generate(self, idx, max_new_tokens):
        for _ in range(max_new_tokens):
            idx_cond = idx[:, -block_size:]
            logits, loss = self(idx_cond)
            logits = logits[:, -1, :]
            
            probs = F.softmax(logits, dim=1)
            idx_next = torch.multinomial(probs, num_samples=1)
            idx = torch.cat((idx, idx_next), dim=1)
        return idx

m = BigramLanguageModel()
model = m.to(device)

generated_list = model.generate(idx= torch.zeros((1,1), dtype=torch.long), max_new_tokens=100)[0].tolist()
decoded_list = decoding(generated_list=generated_list, encode=encode)
    
optimizer = torch.optim.AdamW(model.parameters(), lr=learning_rate)

iteration = 0
for _ in range(max_iters):
    xy, yb = array_creation('train')
    
    logits, loss = model(xy, yb)
    optimizer.zero_grad(set_to_none=True)
    loss.backward()
    optimizer.step()
    iteration += 1

    print(iteration)
    print(loss.item())

context =  torch.zeros((1,1), dtype=torch.long, device=device)
print(decoding(generated_list=model.generate(context,max_new_tokens=100)[0].tolist(), encode=encode))

Here is the output
A', '! re al, we hear me speak.All:Speak.First Citizen:You are all resolved rather to die to than famish?A', '! re al, we hear me speak.All:Speak.First Citizen:You are all resolved rather to die to than famish?A', '! re al, we hear me speak.All:Speak.First Citizen:You are all resolved rather to die to than famish?A', '! re al, we hear me speak.All:Speak.First Citizen:You are all resolved rather to die to than famish?

It keeps repeating itself even farther than that.
I tried to increase the amount of data going in but that didn't help, I also tried to change the amount of iterations and batch size/block size. But it still didnt change the repetition.
Do I just need to do even more intense training?
","It was a problem with my decoding function, not sure what but I made my own tokenizer rather than using tiktoken and it fixed the problem.
",llm
how to change the mysql prompt from the command line,"I bet this is easy and I have surely overseen something:
I am trying to set the ""internal"" MySQL prompt from the Bash shell as an argument to the command mysql.
The manual makes reference a command line option called --named-command=str where I assumed that I could pass any of the commands referred here:
mysql Command-line Client
But an version of the command below return an error after connecting to the DB:
mysql --named-commands='\R >'
mysql --named-commands=""\R >""

The error reads:

Warning: mysql: ignoring option '--named-commands' due to invalid value '\R > '

I thus assume that I am missing something. Please note that I have already gone through the MySQL manual/s (both, the Oracle site and the MariaDB site). The fact is that the question itself is not easy to define as when I t yto google for ""Mysql Command line option"" it normally takes me to the ""internal"" MySQL command line (or more exactly, the MySQL command line client).
Thanks for your suggestion :)
","mysql -h hostname -u username -p --prompt myCustomPrompt\>
Be sure to escape > with \ in order to avoid a bash syntax error.
See the final section of mysql client commands for instructions on special characters to use in the prompt command.
",prompt
